"first_name","last_name","email","quantity"
"Omar","Jackson","yjohnson@example.org",797
"Kathryn","Campbell","lisajones@example.org",788
"Robert","Ponce","gwalsh@example.net",786
"Kaitlyn","Raymond","jonespamela@example.org",727
"John","Smith","jessesoto@example.net",694
"Andrea","Campbell","nguyenkevin@example.com",681
"Jessica","Moyer","ronaldbuchanan@example.net",675
"Timothy","Walters","melissa38@example.org",644
"Luis","Shaffer","kirkwendy@example.com",636
"Brenda","Rhodes","meagan49@example.com",559
